date,year,serial,total_death_missing,cause_of_death,collapsed_cause,collapsed_region,number_children,lon,lat,random
2017-06-13,2017,2017.MMP00486,1,Mixed or unknown,Mixed or unknown,North America,,-98.4916346,26.2506568,0.9599043693337321
2017-06-14,2017,2017.MMP00487,1,Drowning,Drowning,Central America,,-101.0053844,29.322646,0.4142056346755938
2017-06-15,2017,2017.MMP00493,1,Mixed or unknown,Mixed or unknown,North America,,-112.13511,31.98217,0.4894039122526681
2017-06-15,2017,2017.MMP00494,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,62.3447815,27.3526033,0.8991231740277035
2017-06-16,2017,2017.MMP00495,1,Mixed or unknown,Mixed or unknown,North America,,-111.45708,31.64953,0.0998676433043506
2017-06-16,2017,2017.MMP00496,1,Mixed or unknown,Mixed or unknown,North America,,-100.20800131,28.16011482,0.9257172435894978
2017-06-17,2017,2017.MMP00504,1,Mixed or unknown,Mixed or unknown,North America,,-113.11978,32.44072,0.4307992085116663
2017-06-17,2017,2017.MMP00505,1,Mixed or unknown,Mixed or unknown,North America,,-113.13554,32.41934,0.2460550355988318
2017-06-17,2017,2017.MMP00506,1,Mixed or unknown,Mixed or unknown,North America,,-113.13784,32.41131,0.17092829731053527
2017-06-17,2017,2017.MMP00507,1,Mixed or unknown,Mixed or unknown,North America,,-113.13807,32.41175,0.7170201105512415
2017-06-17,2017,2017.MMP00508,1,Mixed or unknown,Mixed or unknown,North America,,-113.1268,32.41754,0.02050740711435517
2017-06-17,2017,2017.MMP00509,1,Mixed or unknown,Mixed or unknown,North America,,-113.12548,32.42663,0.5802725731587044
2017-06-17,2017,2017.MMP00510,1,Mixed or unknown,Mixed or unknown,North America,,-113.12954,32.45975,0.028204272754768
2017-06-17,2017,2017.MMP00511,1,Mixed or unknown,Mixed or unknown,North America,,-113.13318,32.46414,0.15530237018077608
2017-06-17,2017,2017.MMP00514,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Western Africa,,7.986535,16.9741689,0.4595804189245667
2017-06-17,2017,2017.MMP00515,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",Southern Asia,,61.314214,29.960203,0.5345569524325136
2017-06-18,2017,2017.MMP00519,1,Drowning,Drowning,North America,1,-98.26521003,26.11825501,0.7614917678453192
2017-06-18,2017,2017.MMP00520,1,Mixed or unknown,Mixed or unknown,North America,,-117.6838078,33.5063335,0.12663313164789636
2017-06-19,2017,2017.MMP00522,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Southern Asia,,77.247466,28.58381,0.2943816790440996
2017-06-20,2017,2017.MMP00524,1,Drowning,Drowning,Mediterranean,,-5.7245056,35.8255136,0.4987335590634139
2017-06-20,2017,2017.MMP00525,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-100.3105718,28.5085892,0.13133337724088912
2017-06-20,2017,2017.MMP00526,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,North America,,-98.20047633,27.15247327,0.632656097309338
2017-06-20,2017,2017.MMP00527,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-98.5412384,27.0227822,0.2400439666115155
2017-06-20,2017,2017.MMP00528,1,Mixed or unknown,Mixed or unknown,North America,,-98.1665859,27.2196887,0.9894845941028623
2017-06-21,2017,2017.MMP00530,1,Mixed or unknown,Mixed or unknown,Southern Asia,,77.277431,28.575817,0.495552688514981
2017-06-21,2017,2017.MMP00531,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Southern Asia,,77.277431,28.575817,0.3275922023994491
2017-06-21,2017,2017.MMP00532,1,Vehicle accident / death linked to hazardous transport,Vehicle accident / death linked to hazardous transport,Central America,,-106.1527717,23.0902207,0.9681090807693506
2017-06-21,2017,2017.MMP00535,1,Violence,Violence,Northern Africa,,14.4553448,27.0420458,0.3674229974670733
2017-06-22,2017,2017.MMP00536,1,Violence,Violence,Southern Asia,,62.3447815,27.3526033,0.5624412313211957
2017-06-22,2017,2017.MMP00537,1,Drowning,Drowning,Mediterranean,,16.32440644,35.3621456,0.9558051998547399
2017-06-24,2017,2017.MMP00539,1,Drowning,Drowning,Mediterranean,,13.4367761,32.8631624,0.7929753578605729
2017-06-24,2017,2017.MMP00540,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Western Africa,,3.3792057,6.5243793,0.6744139447329873
2017-06-24,2017,2017.MMP00541,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-98.4030222,26.2024694,0.41437113922804736
2017-06-25,2017,2017.MMP00543,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Western Africa,,8.5919561,12.0021794,0.07737391487058409
2017-06-25,2017,2017.MMP00546,1,Mixed or unknown,Mixed or unknown,North America,,-98.133014,27.211565,0.16139976848050286
2017-06-26,2017,2017.MMP00548,1,Drowning,Drowning,Mediterranean,,12.8824822,32.8133431,0.5764458796725096
2017-06-26,2017,2017.MMP00550,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-111.337367,31.90665,0.4708387239277687
2017-06-26,2017,2017.MMP00551,1,"Harsh environmental conditions / lack of adequate shelter, food, water","Harsh environmental conditions / lack of adequate shelter, food, water",North America,,-111.5488,32.40368,0.9440140865072901
2017-06-26,2017,2017.MMP00554,1,Sickness / lack of access to adequate healthcare,Sickness / lack of access to adequate healthcare,Northern Africa,,34.74400319,14.22989997,0.6905033979503412
