date,serial,total_death_missing,cause_of_death,collapsed_region,number_children,lon,lat,random
2016-10-26,2016.MMP007594,30,Drowning,Mediterranean,,34.2533716,14.4988153,0.5122861677825192
2016-12-05,2016.MMP007720,30,Drowning,South-eastern Asia,5,20.9649223,92.2139799,0.686124855960111
2017-03-29,2017.MMP00277,30,Vehicle accident / death linked to hazardous transport,Eastern Africa,,11.6476888,42.3954249,0.3062165854661696
2017-04-18,2017.MMP00310,30,Drowning,Mediterranean,,35.0991392,13.0488502,0.8502458128373394
2018-01-23,2018.MMP00077,30,Drowning,Western Asia,,12.4418724,44.0265749,0.2794143079981075
2020-05-27,2020.MMP00334,30,Violence,Northern Africa,,32.1717952,13.0184123,0.9418075470098464
2020-09-07,2020.MMP00655,30,Sickness / lack of access to adequate healthcare,Southern Asia,1,11.2878883,95.7299821,0.20771099825269546
2021-03-09,2021.MMP00214,30,Drowning,Mediterranean,4,34.84785849,11.47959691,0.5309689019038195
2021-06-14,2021.MMP00565,30,Drowning,Western Asia,,12.60917091,43.93431565,0.9208893391475244
2021-09-24,2021.MMP00877,30,Drowning,Northern Africa,10,24.89691933,-16.64870169,0.07061487665189681
2022-06-27,2022.MMP0769,30,Drowning,Mediterranean,4,33.41,12.57,0.12644877070537874
2014-05-05,2014.MMP00078,29,Drowning,Mediterranean,,37.848433,27,0.8934593825792676
2014-06-16,2014.MMP00118,29,Drowning,Eastern Africa,,28.348645,-13,0.34624806828975885
2015-02-08,2015.MMP00042,29,"Harsh environmental conditions / lack of adequate shelter, food, water",Mediterranean,,34.3797,12.8101,0.011029115200063
2016-10-25,2016.MMP007592,29,Vehicle accident / death linked to hazardous transport,Mediterranean,,30.8804954,16.3516697,0.7435570584092404
2016-10-26,2016.MMP007595,29,Drowning,Mediterranean,,34.2533716,14.4988153,0.01023881355293721
2017-06-28,2017.MMP00564,29,Drowning,Mediterranean,,32.8621454,13.4312263,0.19999589772537085
2018-11-24,2018.MMP01507,29,Drowning,Mediterranean,,35.332202,-2.74651,0.5188271728124398
2019-05-16,2019.MMP00650,29,Drowning,Caribbean,,10.4828589,-61.98516362,0.02998336031807658
2021-08-27,2021.MMP00722,29,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,7,23.353795,-19.689307,0.4452267258979117
2021-12-08,2021.MMP0322,29,Drowning,Northern Africa,,33.01479981,12.54897854,0.579842678984493
2022-07-09,2022.MMP0859,29,Drowning,Mediterranean,,32.94151948,14.289261,0.3597577755033614
2015-10-13,2015.MMP00491,28,Mixed or unknown,Northern Africa,,22.766479,22.587891,0.5187315574127478
2016-02-12,2016.MMP00150,28,Drowning,Northern Africa,,26.9455294,-15.5943805,0.22388201919506923
2016-02-21,2016.MMP00209,28,Mixed or unknown,Northern Africa,,23.2488413,19.7242161,0.18409544270534495
2016-10-04,2016.MMP007502,28,Accidental death,Mediterranean,,34.2533716,14.4988153,0.4206637509768356
2016-11-23,2016.MMP007698,28,Mixed or unknown,Mediterranean,,36.4811381,12.4076589,0.6459658892889546
2017-04-18,2017.MMP00315,28,"Harsh environmental conditions / lack of adequate shelter, food, water",Mediterranean,,32.791284,12.4152649,0.1322912991608578
2017-10-13,2017.MMP00994,28,Drowning,Mediterranean,,32.6578726,14.28312893,0.7687232498705274
2017-11-30,2017.MMP01201,28,Drowning,Mediterranean,1,35.92856441,-5.8935363,0.9151553082930088
2019-10-07,2019.MMP01432,28,Drowning,Mediterranean,4,35.210549549,12.180541076,0.3739503073896051
2022-01-28,2022.MMP00057,28,Drowning,Mediterranean,,32.79249375,12.67770508,0.7341133711032448
2022-03-20,2022.MMP00288,28,Drowning,South-eastern Asia,,3.248823363,99.873995,0.6107025384114473
2022-05-08,2022.MMP0417,28,Drowning,Northern Africa,1,26.641567,-15.586981,0.4468278880948542
2022-10-29,2022.MMP1242,28,Drowning,Western Asia,,12.71285225,43.414596,0.6440018191069747
2016-07-15,2016.MMP00670,27,Mixed or unknown,North America,,27.7150873,-99.9079019,0.08536432461145194
2016-09-29,2016.MMP007482,27,Drowning,Mediterranean,,37.0319069,27.421418,0.697345118987295
2019-06-02,2019.MMP00731,27,Drowning,Mediterranean,1,33.374467702,13.828666325,0.37554289564528953
2021-12-11,2021.MMP0911,27,Violence,Western Africa,,16.97421563,7.986253437,0.13623998139300109
2022-04-04,2022.MMP0373,27,Drowning,Caribbean,,19.22470271,-69.615457,0.5364243921444889
2014-08-23,2014.MMP00179,26,Drowning,Mediterranean,,35.2823,15.8752,0.8261780178892146
2015-01-31,2015.MMP00035,26,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,26.239989,12.913084,0.9692451206933548
2015-09-20,2015.MMP00422,26,Drowning,Mediterranean,6,39.445562,26.042874,0.35565125675934595
2015-09-20,2015.MMP00423,26,Drowning,Mediterranean,10,39.2836,26.5057,0.7564707282720224
2016-02-12,2016.MMP00151,26,Drowning,Caribbean,,9.3247093,-80.0103955,0.5673347698124902
2016-07-23,2016.MMP00707,26,Drowning,South-eastern Asia,,2.3444477,103.7365654,0.14521122683193832
2016-11-09,2016.MMP007633,26,Drowning,Mediterranean,,34.2533716,14.4988153,0.5197319551805535
2017-09-01,2017.MMP00808,26,Drowning,South-eastern Asia,8,21.07357871,92.26065089,0.7128851776263121
2018-06-21,2018.MMP00736,26,Drowning,Mediterranean,,32.80583535,12.87910508,0.41984083263518435
2019-11-23,2019.MMP01666,26,Drowning,Mediterranean,,35.509728903,12.555303694,0.7820192477679311
2019-11-27,2019.MMP01704,26,Violence,Western Asia,,17.245130865,43.239432135,0.22475348762984626
2020-03-03,2020.MMP01062,26,Drowning,Northern Africa,,23.726198,-15.955222,0.7082298250103494
2021-04-11,2021.MMP00229,26,"Harsh environmental conditions / lack of adequate shelter, food, water",Northern Africa,,25.69694464,-18.07531481,0.27694804896936254
2021-05-10,2021.MMP00327,26,Drowning,Mediterranean,,32.79371255,14.58251016,0.7435472223955388
2022-03-27,2022.MMP0321,26,"Harsh environmental conditions / lack of adequate shelter, food, water",Western Africa,1,27.63989884,-17.980667,0.6899130963177063
2022-04-23,2022.MMP0393,26,Drowning,Mediterranean,,35.00161321,10.971276,0.7258806326813902
2022-07-29,2022.MMP0879,26,Drowning,Mediterranean,,32.81768564,12.453429,0.7816039605687992
2014-07-11,2014.MMP00141,25,Drowning,Mediterranean,1,37.862031,26.921962,0.2866469904727986
2015-03-04,2015.MMP00058,25,Drowning,Western Africa,,20.94764809,-17.087039,0.318748476542728
2015-05-30,2015.MMP00161,25,Mixed or unknown,Mediterranean,,35.05031439,18.113847,0.6839835570810917
2015-12-09,2015.MMP00693,25,Drowning,Mediterranean,5,37.469404,27.027424,0.2999439919989346
2016-02-18,2016.MMP00180,25,Mixed or unknown,Northern Africa,,23.2488413,19.7242161,0.6006741969138443
2016-03-06,2016.MMP00237,25,Drowning,Mediterranean,10,37.34116394,27.23726318,0.6282383325479384
2016-09-19,2016.MMP007451,25,Mixed or unknown,North America,,27.68836,-99.2525,0.3312767535814103
2016-11-17,2016.MMP007660,25,Drowning,Mediterranean,,34.2533716,14.4988153,0.3027780785063592
2017-03-03,2017.MMP00226,25,Drowning,Mediterranean,,32.9362462,13.4033901,0.9193312146776627
2018-02-08,2018.MMP00145,25,Drowning,Western Asia,,13.27302771,46.46133036,0.8626975887786219
2019-06-23,2019.MMP00861,25,Drowning,Northern Africa,4,24.297942676,-16.283859755,0.07465753001481845
2020-07-29,2020.MMP00504,25,Drowning,Mediterranean,,35.23369,11.2179020992,0.9092202275776371
2021-03-03,2021.MMP00260,25,Mixed or unknown,Eastern Africa,,12.11374551,42.11180794,0.8919296310501039
2021-02-19,2021.MMP00311,25,Vehicle accident / death linked to hazardous transport,Northern Africa,,26.06751439,14.83350461,0.3562671180575665
2021-06-01,2021.MMP00365,25,Drowning,Mediterranean,,34.15134555,11.75184166,0.548821314367008
